sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
28,10938.226,13838.323,13592.248,14510.895,14084.602,13331.752,-8774.919,-11683.129,-11449.452000000001,-12642.401,-12198.242999999999,-11416.668,19713.145,25521.452,25041.7,27153.296000000002,26282.845,24748.42
1,10008.236,10519.205,11454.597,10943.037,11549.289,NA,-7621.588,-7831.435,-8908.195,-3451.3010000000004,-4002.6090000000004,NA,17629.824,18350.64,20362.792,14394.338,15551.898000000001,NA
1,16111.46,22464.373,28664.152,38473.927,44186.703,NA,-7725.503000000001,-10448.280999999999,-12819.945,-19077.005,-21809.897,NA,23836.963,32912.653999999995,41484.096999999994,57550.932,65996.6,NA
1,3219.715,3831.054,5597.753,16137.672,18529.981,NA,-1369.314,-1837.249,-3125.2740000000003,-13919.657000000001,-15599.108,NA,4589.029,5668.303,8723.027,30057.329,34129.089,NA
1,70246.773,71413.921,81655.251,90414.764,91482.656,NA,-30413.597999999998,-30197.13,-31308.663999999997,-35629.176,-33086.708,NA,100660.371,101611.051,112963.91500000001,126043.94,124569.364,NA
1,18410,19277,19016,22435,22006,NA,-14130,-14933,-14820,-16388,-16020,NA,32540,34210,33836,38823,38026,NA
1,12302.488,7974.559,9577.428,9430.666,8172.877,NA,-11465.256000000001,-6967.331,-8498.076000000001,-8210.525000000001,-6836.202,NA,23767.744,14941.89,18075.504,17641.191,15009.079000000002,NA
1,19537.319,23012.368,25023.3,28025.665,27733.85,NA,-11068.919,-12650.93,-12922.314999999999,-14735.152000000002,-12591.677,NA,30606.237999999998,35663.297999999995,37945.615,42760.817,40325.527,NA
1,17243.304,14890.164,17145.377,16967.252,17088.909,NA,-17264.158,-13748.520999999999,-15506.266,-15256.617,-14724.182999999999,NA,34507.462,28638.684999999998,32651.643,32223.869,31813.091999999997,NA
1,24073.7,25227.009,24893.567,25982.346,NA,NA,-6850.006,-7786.232,-7237.287,-7694.996999999999,NA,NA,30923.706000000002,33013.240999999995,32130.854,33677.343,NA,NA
1,11098.212,14157.983,14168.231,17287.681,14706,NA,-6245.851000000001,-8316.75,-7289.181,-8923.715,-3999,NA,17344.063000000002,22474.733,21457.412,26211.396,18705,NA
1,16513,16579,25488,34477,43363,NA,-3712,-2835,-3654,-3842,-5368,NA,20225,19414,29142,38319,48731,NA
1,18566.748,19380.88,20774.604,20237.156,19102.624,NA,-13776.412999999999,-14541.576000000001,-15886.382,-15197.182999999999,-14022.384,NA,32343.161,33922.456000000006,36660.986,35434.339,33125.008,NA
1,15301.622,9924.787,12814.014,11850.297,17074.2,NA,-12880.767,-7270.5509999999995,-10116.099,-9121.697,-14173.954,NA,28182.389,17195.338,22930.112999999998,20971.994,31248.154000000002,NA
1,14836.33,16860.205,23068.268,28619.003,29980.628,NA,-8692.427,-8535.352,-12916.193,-17509.353,-14824.046,NA,23528.756999999998,25395.557,35984.460999999996,46128.356,44804.674,NA
1,NA,24662.3439414546,25729.2659658868,23631.5076217996,NA,25543.2171533536,NA,-21913.4046149589,-24023.782162553478,-21693.179484137258,NA,-22630.915501897296,NA,46575.7485564135,49753.04812844028,45324.68710593686,NA,48174.1326552509
1,16174.512,19892.297,30534.746,26747.666,30531.171,NA,-13133.199,-14129.306999999999,-24673.782,-20408.956,-22834.980000000003,NA,29307.711000000003,34021.604,55208.528,47156.622,53366.151,NA
32,76667.854,82834.833,90024.157,102254.183,128514.375,NA,-22761.83,-24210.082000000002,-29355.512000000002,-40976.928,-56682.141,NA,99429.68400000001,107044.91500000001,119379.66900000001,143231.111,185196.516,NA
1,32938.441,35412.957,40601.677,42769.475,47790.41,NA,-13820.464,-13192.775,-16025.237,-15755.358,-16184.29,NA,46758.905,48605.732,56626.914000000004,58524.833,63974.700000000004,NA
1,14321.542,20242.09,19596.586,26180.138,27706.428,NA,-9531.046,-14429.993999999999,-13805.642,-18968.652,-21589.278,NA,23852.588,34672.084,33402.228,45148.78999999999,49295.706,NA
1,24375.578,25512.145,25568.598,27426.659,25645.729,NA,-7053.47,-8033.771000000001,-6890.749,-7614.336,-5957.411,NA,31429.048000000003,33545.916,32459.347,35040.995,31603.14,NA
1,262180.881,268383.258,272485.192,252411.082,260617.892,NA,-78326.84599999999,-73478.97899999999,-75959.841,-67557.216,-95186.08,NA,340507.72699999996,341862.23699999996,348445.033,319968.298,355803.972,NA
1,13467.385,15785.055,18972.028,27004.957,28386.211,NA,-8082.934,-8153.02,-10147.345,-16463.674,-15711.677,NA,21550.319,23938.075,29119.373,43468.630999999994,44097.888,NA
1,9954.034,13132.753,16138.754,15335.659,17138.472,NA,-6122.642,-8929.960000000001,-10659.491999999998,-9149.176,-10402.301,NA,16076.676,22062.713000000003,26798.246,24484.835,27540.773,NA
1,11668,NA,11908,17890,21049,NA,-7259,NA,-7812,-16615,-23813,NA,18927,NA,19720,34505,44862,NA
1,41862.698,43850.267,47718.687,53806.964,49028.518,NA,-20831.657,-18977.434,-20361.648,-23124.999,-16232.672,NA,62694.354999999996,62827.701,68080.33499999999,76931.963,65261.189999999995,NA
1,6504,5431,5395,9442,7747,NA,-7746,-6411,-5125,-8765,-6224,NA,14250,11842,10520,18207,13971,NA
29,11594.983,12286.277,12607.146,13992.922,12656.005,NA,-5850.132,-6554.4130000000005,-6117.732,-6788.832,-5849.789,NA,17445.114999999998,18840.690000000002,18724.878,20781.754,18505.793999999998,NA
1,NA,NA,NA,28920.279,34303.227,NA,NA,NA,NA,-24245.452999999998,-27000.832000000002,NA,NA,NA,NA,53165.731999999996,61304.059,NA
1,2187.861,3578.033,4417.467,5090.799,4095.915,NA,-2031.976,-3417.918,-4246.607,-4914.63,-3915.338,NA,4219.8369999999995,6995.951,8664.074,10005.429,8011.253000000001,NA
1,11342.15,11479.727,11935.067,13216.535,13739.353,NA,-5323.314,-5435.234,-5849.66,-7015.6990000000005,-7330.21,NA,16665.464,16914.961000000003,17784.727,20232.234,21069.563,NA
1,63634,64255,65738,65456,65023,NA,-26027,-23915,-24809,-27022,-25742,NA,89661,88170,90547,92478,90765,NA
29,12288.189,12415.427,15414.719,22174.954,18849.689,NA,-7820.37,-7124.664,-9319.027,-16070.164,-13096.777999999998,NA,20108.559,19540.091,24733.746,38245.118,31946.466999999997,NA
1,32048.225,33081.69,33740.145,34414.206,36166.385,40380.512,-10068.351,-9713.817,-9046.658,-8786.986,-8911.155,-9810.529,42116.576,42795.507,42786.803,43201.191999999995,45077.54,50191.041000000005
1,29711.863,31135.117,31194.474,29639.01,25542.724,NA,-17142.886,-18721.264000000003,-18666.423000000003,-16690.301,-12492.420999999998,NA,46854.748999999996,49856.381,49860.897,46329.311,38035.145,NA
1,14445,15575,16448,17693,20249,NA,-6805,-6499,-6171,-6346,-8500,NA,21250,22074,22619,24039,28749,NA
1,12333.692,14265.12,17976.248,20098.656,24733.177,NA,-10199.348,-9816.68,-11307.152,-10806.465,-11163.278,NA,22533.04,24081.800000000003,29283.4,30905.121,35896.455,NA
1,44108.994,48601.221,47099.186,56457.632,49129.681,NA,-12909.314,-15735.386999999999,-13992.38,-14060.085,-25323.333,NA,57018.308,64336.60799999999,61091.566,70517.717,74453.014,NA
1,13604.955,14063.29,14104.531,21525.729,22810.516,19289.741,-12802.827,-13238.365,-12957.640000000001,-19842.77,-20716.820000000003,-16616.052,26407.782,27301.655,27062.171000000002,41368.498999999996,43527.336,35905.793000000005
1,44080.712,43856.793,44160.889,44565.262,43817.853,NA,-21991.33,-21631.019,-21738.408,-22020.093,-21577.286,NA,66072.042,65487.812,65899.297,66585.35500000001,65395.139,NA
1,14093.585,19096.464,28313.266,36679.384,39180.48,NA,-12017.311000000002,-16897.867,-21549.994,-29225.569,-31221.411,NA,26110.896,35994.331,49863.259999999995,65904.953,70401.891,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,45028.093,36448.358,47003.834,61472.318,NA,NA,-2833.746,-3362.4410000000003,-4916,-5477.094999999999,NA,NA,47861.839,39810.799,51919.834,66949.413,NA,NA
1,NA,9956.643,12652.382,16157.055,NA,NA,NA,-5454.461,-7523.982,-8735.022,NA,NA,NA,15411.104,20176.364,24892.077,NA,NA
1,19070.37,16180.023,NA,15657.72,16172.906,NA,-10733.253,-7211.217000000001,NA,-6183.38,-6694.081,NA,29803.623,23391.239999999998,NA,21841.1,22866.987,NA
1,247341,223842,278035,241458,317748,NA,-12795,-10467,-12174,-12075,-21844,NA,260136,234309,290209,253533,339592,NA
1,12663.998,14126.182,16280.642,18476.249,21559.466,NA,-10932.579,-10529.547,-11025.62,-12592.779999999999,-12725.743,NA,23596.576999999997,24655.729,27306.262000000002,31069.029,34285.209,NA
1,248055,245716,242574,267234,294462,NA,-171014,-84539,-77824,-100146,-118848,NA,419069,330255,320398,367380,413310,NA
1,12925.003,17361.39,22258.295,64137.335,95714.015,NA,-2030.518,-4426.419,-8674.129,-7606.058,-10035.346,NA,14955.521,21787.809,30932.424,71743.393,105749.361,NA
1,20444.611,21543.712,31133.951,27464.704,30421.538,33333.914,-11322.413,-11754.894,-19503.634,-15749.551,-17606.163,-19708.233,31767.024,33298.606,50637.585,43214.255000000005,48027.701,53042.147
1,40177,43635.59,50339.576,29562.532,34198,NA,-3089,-2803.159,-4341.854,-4468.927000000001,-5612,NA,43266,46438.748999999996,54681.43,34031.459,39810,NA
1,18533.402,19851.734,11336.029,12705.678,16922.196,NA,-4076.6470000000004,-2735.225,-4773.717000000001,-5619.964,-6995.98,NA,22610.049,22586.959,16109.746000000001,18325.642,23918.176,NA
1,12831.188,10232.043,11054.695,12152.361,11964.492,13177.387,-11764.779999999999,-8729.758,-9132.800000000001,-11650.403999999999,-10192.364,-10480.217,24595.968,18961.801,20187.495000000003,23802.765,22156.856,23657.604
1,50512.012,52368.101,51738.883,51434.447,51678.262,NA,-7037.839,-7978.602999999999,-7024.485000000001,-4254.125,-4464.2210000000005,NA,57549.851,60346.704,58763.368,55688.572,56142.483,NA
1,13225,14504,NA,NA,NA,NA,-9711,-11198,NA,NA,NA,NA,22936,25702,NA,NA,NA,NA
